Firstname,Middlename,Lastname,Phone_no,E-mail,Password,Aadhar,Voter id,Date Of Birth,Address,Photograph_filename,Fingerprint_filename,Signature_filename
Rashi,S,Raj,9432112349,rashi123@gmail.com,rashiraj,4341-4321-2341,VIrashi12323,23-04-2005,"6th block ,Rajajinagar,Bangalore-560010",profile1.png,fingerprint1.png,signature1.png
Rahul,Singh,Rajput,6767845210,rahul231@gmail.com,rahulsingh,5432-3455-4678,VIrahul23111,11-02-2005,"#95,JpNagr,Bangalore-560100",profile2.png,fingerprint2.png,signature2.png
Raveena,D,Shiva,6767834210,raveena331@gmail.com,raveenashiva,7432-3455-4678,VIraveena33102,02-03-2005,"#85,RRNagr,Bangalore-560100",profile3.png,fingerprint3.png,signature3.png
Avinash,K,Mehta,9767844210,avinash431@gmail.com,avinashmehta,5452-3455-4678,VIavinash43102,02-05-2005,"#45, SadashivNagar,Bangalore-560100",profile5.png,fingerprint4.png,signature4.png
Ananya,Ravi,Reddy,9767844210,ananya325@gmail.com,ananyaravi,6897-4435-4558,VIavinash32505,05-05-2005,"#45, Nagarbhavi ,Bangalore-560100",profile5.png,finge print5.png,signature5.png
Shreya,S,Kulkarni,7566514210,shreya555@gmail.com,shreyakulkarni,7321-4555-3458,VIshreya555515,15-07-2005,"#45, Electronic city ,Bangalore-560100",profile1.png,fingerprint1.png,signature1.png
Neethu,Sudha,Raju,7342112347,neethu343@gmail.com,neethuraju,9455-3458-5461,VIshreya555515,15-07-2005,"#45, Marthahalli ,Bangalore-560100",profile2.png,fingerprint2.png,signature2.png
Deeksha,Mohan,Kumar,7342112347,deeksha329@gmail.com,deekshamohan,8755-3418-5461,VIshreya32918,18-08-2005,"#45, Vijaynagar ,Bangalore-560100",profile3.png,fingerprint3.png,signature3.png
Supreet,L,Naik,9942112347,supreeth102@gmail.com,supreeth,5995-3418-5461,VIsupreeth10228,28-08-2005,"#45, Malleshwaram ,Bangalore-560100",profile4.png,fingerprint4.png,signature4.png
Lohith,N,Reddy,9232345147,lohith899@gmail.com,lohithreddy,8795-3448-5441,VIsupreeth10228,28-08-2005,"#45, Wilson garden ,Bangalore-560100",profile5.png,fingerprint5.png,signature5.png
Bharghav,H,Chopra,9232345147,bharghav244@gmail.com,bharghavchopra,8795-3448-5441,VIbharghav24421,21-09-2005,"#45, Mysore road,Bangalore-560100",profile1.png,fingedprint1.png,signature1.png
Smitha,K,Francis,8661212210,smitha346@gmail.com,smithafrancis,6535-3648-1456,VIsmitha34606,06-06-2005,"#45,Vasanthnagar,Bangalore-560100",profile2.png,fingerprint2.png,signature2.png
Sneha,Rishab,Patil,7712210344,sneha976@gmail.com,snehapatil,5648-2312-1456,VIsneha97609,09-09-2005,"#45,Vasanthnagar,Bangalore-560100",profile3.png,fingerprint3.png,signature3.png
Riya,C,Jain,6712210944,riya448@gmail.com,riyac,5648-2312-1456,VIriya44805,05-06-2005,"#45,Brigade road,Bangalore-560100",profile4.png,fingedprint4.png,signature4.png
Vihaan,C,Vijay,7756910944,vihaan123@gmail.com,vihaanvijay,4328-2312-5456,VIvihaan12323,23-08-2005,"#45,Palace road,Bangalore-560100",profile5.png,fingedprint5.png,signature5.png
